date,strategyNormalized,nasdaqCompositeNormalized,sp500Normalized
2016-03-01,1,1,1
2016-03-02,1.00049663,1.00294691,1.00409431
2016-03-03,0.99455408,1.00379986,1.00760737
2016-03-04,0.9951334,1.00584696,1.01093842
2016-03-07,0.97576053,1.00397686,1.01183311
2016-03-08,0.95240916,0.9913041,1.00046
2016-03-09,0.96824045,0.99675447,1.00551471
2016-03-10,0.96333433,0.99414877,1.00567138
2016-03-11,1.01344541,1.01255333,1.02215986
2016-03-14,1.01682289,1.0129392,1.02087095
2016-03-15,1.01447386,1.00833116,1.01899567
2016-03-16,1.04048182,1.01585852,1.0247024
2016-03-17,1.03789573,1.0182084,1.03146056
2016-03-18,1.04207625,1.02261383,1.0360048
2016-03-21,1.0522002,1.02543288,1.03702587
2016-03-22,1.06097943,1.0281602,1.03611599
2016-03-23,1.03590375,1.01690118,1.02949932
2016-03-24,1.03374979,1.01789063,1.0291101
2016-03-28,1.02758345,1.01645981,1.02967123
2016-03-29,1.0764017,1.0334826,1.03874948
2016-03-30,1.09050365,1.03831669,1.04326837
2016-03-31,1.08494661,1.03843611,1.04114035
2016-04-01,1.11803633,1.0479657,1.04773172
2016-04-04,1.10456646,1.04311662,1.04437026
2016-04-05,1.07398999,1.03290901,1.03377566
2016-04-06,1.12589771,1.04928354,1.04463818
2016-04-07,1.08052486,1.03385577,1.03212781
2016-04-08,1.07759617,1.03435044,1.03500392
2016-04-11,1.06478618,1.03066355,1.03216823
2016-04-12,1.09040557,1.03891371,1.04214118
2016-04-13,1.13082953,1.05497693,1.05260442
2016-04-14,1.1304701,1.05465072,1.05278644
2016-04-15,1.12189507,1.05301521,1.0517502
2016-04-18,1.13656,1.05766375,1.05862972
2016-04-19,1.11558755,1.05346511,1.06189505
2016-04-20,1.11762906,1.05512832,1.06270373
2016-04-21,1.11730481,1.05465072,1.05718402
2016-04-22,1.06988609,1.04619368,1.05723462
2016-04-25,1.06760173,1.04396749,1.05531886
2016-04-26,1.05217033,1.04236602,1.05729521
2016-04-27,1.02751143,1.0370053,1.05903906
2016-04-28,0.99148973,1.02466947,1.04926332
2016-04-29,0.97465222,1.01828722,1.0439508
2016-05-02,1.00022763,1.02729225,1.052104
2016-05-03,0.97291689,1.01569859,1.04297528
2016-05-04,0.95291284,1.0076851,1.03678325
2016-05-05,0.95138267,1.00586185,1.03653545
2016-05-06,0.96603914,1.00992836,1.03982608
2016-05-09,0.97205568,1.01292431,1.04060958
2016-05-10,1.01237196,1.0256482,1.05360018
2016-05-11,0.98527276,1.01515904,1.04352616
2016-05-12,0.97194014,1.01017784,1.04334932
2016-05-13,0.95989168,1.00598773,1.03450351
2016-05-16,0.99533073,1.01830857,1.04463818
2016-05-17,0.95865549,1.00557188,1.03480678
2016-05-18,0.96856831,1.01055954,1.0350191
2016-05-19,0.9531952,1.00488948,1.03118258
2016-05-20,0.98483466,1.01705049,1.03738979
2016-05-23,0.97945814,1.01624439,1.03522636
2016-05-24,1.03950834,1.03656174,1.04938969
2016-05-25,1.06028859,1.0437756,1.05670891
2016-05-26,1.0689514,1.04524265,1.05648653
2016-05-27,1.08479756,1.05200868,1.06101554
2016-05-31,1.088817,1.05511125,1.05994894
2016-06-01,1.0885598,1.05600689,1.06115202
2016-06-02,1.09470046,1.06008183,1.06414944
2016-06-03,1.0790027,1.05393209,1.06105083
2016-06-06,1.0890801,1.05951677,1.06624709
2016-06-07,1.08006158,1.05803265,1.06762196
2016-06-08,1.08505035,1.06078131,1.07115533
2016-06-09,1.07859702,1.05736524,1.06931534
2016-06-10,1.04274048,1.04370302,1.05950418
2016-06-13,1.01543439,1.03387066,1.0509061
2016-06-14,1.01481594,1.0328279,1.04901564
2016-06-15,1.0054952,1.03098987,1.0470847
2016-06-16,1.01398728,1.03312006,1.05036521
2016-06-17,0.97775588,1.0236139,1.04694316
2016-06-20,0.99499397,1.031476,1.053024
2016-06-21,1.00385176,1.03287267,1.05587986
2016-06-22,0.9960397,1.03064648,1.05413601
2016-06-23,1.03965945,1.04700613,1.06822357
2016-06-24,0.92220603,1.00391929,1.02985319
2016-06-27,0.86746084,0.97970826,1.01121645
2016-06-28,0.93148506,1.00048405,1.02918593
2016-06-29,0.98766053,1.01911675,1.04671572
2016-06-30,1.02497408,1.03264027,1.06091447
2016-07-01,1.04119291,1.03688368,1.06298177
2016-07-05,1.0186527,1.02842456,1.05570302
2016-07-06,1.04555231,1.03615661,1.06135416
2016-07-07,1.05357361,1.03992024,1.06042911
2016-07-08,1.10700824,1.05696854,1.0766042
2016-07-11,1.12458303,1.06376664,1.08027393
2016-07-12,1.14086494,1.07105504,1.08784589
2016-07-13,1.13143216,1.06741084,1.0879925
2016-07-14,1.15564069,1.07345188,1.09371447
2016-07-15,1.14841306,1.07249866,1.09269847
2016-07-18,1.17010337,1.07808335,1.0953016
2016-07-19,1.1561584,1.07394448,1.09372965
2016-07-20,1.19911576,1.0853655,1.09840021
2016-07-21,1.18946336,1.08194724,1.0944322
2016-07-22,1.20442637,1.08754692,1.09941621
2016-07-25,1.20266553,1.08700737,1.09610534
2016-07-26,1.2061263,1.08965577,1.09645915
2016-07-27,1.23177247,1.09600178,1.095145
2016-07-28,1.24460313,1.09923658,1.09690403
2016-07-29,1.2523792,1.10076121,1.09869342
2016-08-01,1.27138692,1.10546744,1.09729831
2016-08-02,1.2413628,1.09555823,1.09031772
2016-08-03,1.25360367,1.10025165,1.09373471
2016-08-04,1.26399355,1.10163978,1.09396721
2016-08-05,1.30046517,1.11334016,1.10337915
2016-08-08,1.29437184,1.11163853,1.1023782
2016-08-09,1.30260395,1.11426985,1.1028079
2016-08-10,1.29118594,1.1098132,1.09964871
2016-08-11,1.30776922,1.11489248,1.10485509
2016-08-12,1.30995361,1.11584997,1.10397557
2016-08-15,1.32556234,1.12206156,1.10705888
2016-08-16,1.30254778,1.1146174,1.10099322
2016-08-17,1.30911204,1.11494798,1.10305052
2016-08-18,1.30942274,1.11739803,1.10547681
2016-08-19,1.30491988,1.11702059,1.10388462
2016-08-22,1.29904312,1.11834698,1.10326278
2016-08-23,1.29998826,1.1216479,1.10541609
2016-08-24,1.27807302,1.11260872,1.09962341
2016-08-25,1.26748346,1.11143809,1.09812217
2016-08-26,1.26932921,1.11287099,1.09638844
2016-08-29,1.27189744,1.11573055,1.10212041
2016-08-30,1.26281836,1.11373894,1.09996722
2016-08-31,1.25714589,1.1116556,1.09735384
2016-09-01,1.26153732,1.11463874,1.09730843
2016-09-02,1.26959796,1.1194771,1.10191827
2016-09-06,1.28432092,1.12502347,1.10520384
2016-09-07,1.28374196,1.12673364,1.10504205
2016-09-08,1.26773975,1.12151993,1.10258553
2016-09-09,1.20393678,1.0930378,1.07554785
2016-09-12,1.2486451,1.11137198,1.09133372
2016-09-13,1.22564245,1.09929416,1.07514851
2016-09-14,1.23711976,1.10324333,1.07451667
2016-09-15,1.2772506,1.11943233,1.08537925
2016-09-16,1.27568704,1.11834052,1.08128488
2016-09-19,1.26286378,1.11630623,1.08126476
2016-09-20,1.26745704,1.11765396,1.08158821
2016-09-21,1.29262896,1.12913256,1.09339608
2016-09-22,1.3137653,1.13858749,1.10050292
2016-09-23,1.29628504,1.13138645,1.09418959
2016-09-26,1.27303486,1.12109564,1.08479295
2016-09-27,1.29707172,1.13137791,1.09178354
2016-09-28,1.30062102,1.13411585,1.09756623
2016-09-29,1.28281328,1.12358192,1.08733536
2016-09-30,1.29968135,1.13271918,1.09599921
2016-10-03,1.29503084,1.13034587,1.09242549
2016-10-04,1.29089404,1.12795549,1.08701191
2016-10-05,1.2987786,1.1335764,1.09168247
2016-10-06,1.29729351,1.13162103,1.09220818
2016-10-07,1.29195921,1.1285397,1.0886547
2016-10-10,1.30587116,1.13627384,1.09366894
2016-10-11,1.27297953,1.11881396,1.08005662
2016-10-12,1.27069005,1.11715709,1.081295
2016-10-13,1.26235622,1.11167903,1.07794378
2016-10-14,1.26425765,1.11185603,1.0781611
2016-10-17,1.25729555,1.10879813,1.07488565
2016-10-18,1.2772261,1.11818486,1.08150738
2016-10-19,1.27670954,1.11873295,1.08387801
2016-10-20,1.27365115,1.11775631,1.0823869
2016-10-21,1.28117408,1.12107638,1.08229582
2016-10-24,1.30708075,1.13225648,1.08743655
2016-10-25,1.29935567,1.12662056,1.08330677
2016-10-26,1.28328419,1.11955602,1.08142137
2016-10-27,1.27238961,1.112242,1.07819146
2016-10-28,1.25782041,1.10672552,1.07484011
2016-10-31,1.25486784,1.10652082,1.07470869
2016-11-01,1.23747874,1.09893807,1.06741476
2016-11-02,1.21951127,1.08870047,1.06044935
2016-11-03,1.19801868,1.07864424,1.05575856
2016-11-04,1.19022801,1.07607685,1.05399952
2016-11-07,1.24199899,1.1016227,1.07742313
2016-11-08,1.25625921,1.10744842,1.08148714
2016-11-09,1.26651157,1.11972657,1.0934668
2016-11-10,1.23011202,1.110713,1.09559987
2016-11-11,1.23059557,1.11674978,1.09406828
2016-11-14,1.20684816,1.11276011,1.09394191
2016-11-15,1.23696019,1.12496162,1.10212547
2016-11-16,1.2500938,1.1290046,1.10038162
2016-11-17,1.26577419,1.13740407,1.10552741
2016-11-18,1.25696088,1.13474703,1.10288874
2016-11-21,1.28017317,1.14484386,1.11111783
2016-11-22,1.28700295,1.14857344,1.11352388
2016-11-23,1.27732749,1.14736439,1.11442363
2016-11-25,1.28430778,1.1512538,1.11878592
2016-11-28,1.27822436,1.14483324,1.11290722
2016-11-29,1.28605525,1.14720228,1.11439328
2016-11-30,1.25762303,1.13520984,1.11143634
2016-12-01,1.21860226,1.11973511,1.10752905
2016-12-02,1.22215357,1.12070321,1.10796875
2016-12-05,1.23782297,1.13205604,1.11441858
2016-12-06,1.2429777,1.13719718,1.11821973
2016-12-07,1.27200999,1.15015346,1.13293913
2016-12-08,1.27546693,1.15518589,1.13538553
2016-12-09,1.2937198,1.16097319,1.14212857
2016-12-12,1.28130027,1.15415812,1.14082947
2016-12-13,1.31116456,1.1650951,1.14829024
2016-12-14,1.30585707,1.15930352,1.13896937
