label,startDate,endDate,tradingDays,totalReturn,cagr,annualizedVolatility,sharpe,maxDrawdown
Strategy,2016-03-01,2026-03-31,2536,11.11062781,0.28070421,0.38236573,0.75659551,-0.45421523
Nasdaq Composite,2016-03-01,2026-03-31,2536,3.60393859,0.16354091,0.21900228,0.66603802,-0.3639528
S&P 500,2016-03-01,2026-03-31,2536,2.29998236,0.12573387,0.17988836,0.58338307,-0.3392496
