entryDate,exitDate,regime,vixStdBand,sigma2SignalTag,sigma2Count60,sigma2Count20,quantity,entryUnderlying,exitUnderlying,entryRsi,entryIv,entryVix,entryVixMean,entryVixStd,vixThreshold,strike,entryCost,leapsExitValue,shortCallPremiumCollected,shortCallSettlements,shortCallCloseCost,shortCallNetCash,totalExitValue,pnl,pnlPct,ageDays,reason,buyReason,win
2016-06-27,2017-04-27,sigma1_weekly_1lot,1,,,,1,95.4901,127.7714,29.8468,0.2454,23.85,17.4713,5.6926,23.164,90,1849.4144,4091.5298,0,0,0,0,4091.5298,2242.1154,1.212338,304,take_profit_120_before_12m,"RSI(14) 29.8468 < 35; VIX 23.85 >= 23.164; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2018-02-08,2019-03-12,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,2,2,2,145.445,167.9319,32.6321,0.1535,33.46,16.2594,5.6461,27.5516,141,3876.5248,7100.0915,0,0,0,0,7100.0915,3223.5668,0.831561,397,take_profit_80_12_to_15m,"RSI(14) 32.6321 < 35; VIX 33.46 >= 27.5516; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",true
2018-02-05,2019-03-20,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,149.8714,172.1349,34.9853,0.15,37.32,16.2357,5.6202,27.476,146,1930.0028,3497.4703,0,0,0,0,3497.4703,1567.4674,0.812158,408,take_profit_80_12_to_15m,"RSI(14) 34.9853 < 35; VIX 37.32 >= 27.476; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; no short call overlay",true
2018-03-23,2019-03-25,sigma1_weekly_1lot,1,,,,1,150.4848,170.6602,33.0977,0.173,24.87,16.3105,5.6293,21.9398,145,2200.7995,3557.4523,0,0,0,0,3557.4523,1356.6529,0.616436,367,take_profit_60_12_to_15m,"RSI(14) 33.0977 < 35; VIX 24.87 >= 21.9398; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2018-10-24,2019-10-24,sigma1_weekly_1lot,1,,,,1,157.5881,186.6436,29.6172,0.2236,25.23,16.1962,5.4981,21.6943,149,2857.3984,4575.1566,0,0,0,0,4575.1566,1717.7581,0.601162,365,take_profit_60_12_to_15m,"RSI(14) 29.6172 < 35; VIX 25.23 >= 21.6943; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2018-10-29,2019-10-29,sigma1_weekly_1lot,1,,,,1,155.577,188.5188,32.9512,0.2283,24.7,16.2086,5.5031,21.7118,147,2861.7425,4858.1592,0,0,0,0,4858.1592,1996.4167,0.697623,365,take_profit_60_12_to_15m,"RSI(14) 32.9512 < 35; VIX 24.7 >= 21.7118; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2018-10-10,2019-11-08,sigma1_weekly_1lot,1,,,,1,163.6785,193.5096,24.7447,0.2082,22.96,16.1726,5.4993,21.6719,156,2775.1985,4480.6196,0,0,0,0,4480.6196,1705.4211,0.614522,394,take_profit_60_12_to_15m,"RSI(14) 24.7447 < 35; VIX 22.96 >= 21.6719; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2018-12-24,2019-11-15,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,3,3,1,137.1634,195.1253,25.8177,0.2647,36.07,16.3061,5.5208,27.3477,128,2854.6966,7184.2872,0,0,0,0,7184.2872,4329.5906,1.516655,326,take_profit_150_before_12m,"RSI(14) 25.8177 < 35; VIX 36.07 >= 27.3477; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",true
2018-11-20,2019-11-20,sigma1_weekly_1lot,1,,,,1,151.6978,194.3944,34.4671,0.2434,22.48,16.2372,5.4926,21.7299,143,2921.6766,5691.3034,0,0,0,0,5691.3034,2769.6268,0.947958,365,take_profit_60_12_to_15m,"RSI(14) 34.4671 < 35; VIX 22.48 >= 21.7299; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2018-12-21,2019-12-16,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,2,2,2,140.6512,201.2412,28.5585,0.2631,30.11,16.2963,5.5045,27.3053,132,5752.6002,14689.128,0,0,0,0,14689.128,8936.5278,1.553476,360,take_profit_150_before_12m,"RSI(14) 28.5585 < 35; VIX 30.11 >= 27.3053; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",true
2018-12-19,2019-12-16,sigma1_weekly_1lot,1,,,,1,147.2849,201.2412,34.9631,0.2599,25.58,16.2834,5.492,21.7753,138,3000.6956,6778.6576,0,0,0,0,6778.6576,3777.9619,1.259029,362,take_profit_120_before_12m,"RSI(14) 34.9631 < 35; VIX 25.58 >= 21.7753; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2018-12-20,2019-12-20,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,145.1499,203.5876,32.7186,0.2604,28.38,16.2894,5.4972,27.2839,136,2960.6691,7187.2569,0,0,0,0,7187.2569,4226.5878,1.427579,365,take_profit_80_12_to_15m,"RSI(14) 32.7186 < 35; VIX 28.38 >= 27.2839; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; no short call overlay",true
2019-08-05,2020-05-29,sigma1_weekly_1lot,1,,,,1,173.4464,225.3728,29.7994,0.2586,24.59,16.2753,5.3945,21.6697,163,3497.4909,7706.3186,0,0,0,0,7706.3186,4208.8278,1.203385,298,take_profit_120_before_12m,"RSI(14) 29.7994 < 35; VIX 24.59 >= 21.6697; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2020-03-12,2020-06-08,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,5,5,2,170.8867,233.2825,29.0173,0.2788,75.47,16.349,5.6899,27.7288,159,7397.9476,18643.0102,0,0,0,0,18643.0102,11245.0626,1.520025,88,take_profit_150_before_12m,"RSI(14) 29.0173 < 35; VIX 75.47 >= 27.7288; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",true
2020-03-16,2020-06-09,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,6,6,2,163.1577,234.9726,31.8202,0.3327,82.69,16.3956,5.9153,28.2261,151,8007.9171,20071.6712,0,0,0,0,20071.6712,12063.7541,1.506478,85,take_profit_150_before_12m,"RSI(14) 31.8202 < 35; VIX 82.69 >= 28.2261; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",true
2020-03-09,2020-07-01,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,4,4,2,186.5471,242.3372,31.0924,0.241,54.46,16.2937,5.4658,27.2253,176,7124.8465,17877.2016,0,0,0,0,17877.2016,10752.3552,1.509135,114,take_profit_150_before_12m,"RSI(14) 31.0924 < 35; VIX 54.46 >= 27.2253; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",true
2020-02-28,2020-07-06,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,3,3,2,198.3335,249.9801,27.3012,0.2035,40.11,16.2328,5.327,26.8868,189,6636.5704,17407.8513,0,0,0,0,17407.8513,10771.281,1.623019,129,take_profit_150_before_12m,"RSI(14) 27.3012 < 35; VIX 40.11 >= 26.8868; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",true
2020-02-27,2020-07-06,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,2,2,2,198.1792,249.9801,27.0081,0.2036,39.16,16.2224,5.3049,26.8321,189,6615.6737,17400.2174,0,0,0,0,17400.2174,10784.5437,1.63015,130,take_profit_150_before_12m,"RSI(14) 27.0081 < 35; VIX 39.16 >= 26.8321; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",true
2020-02-25,2020-07-09,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,207.5562,253.6467,34.0523,0.1936,27.85,16.2075,5.2803,26.768,198,3359.3334,8431.3942,0,0,0,0,8431.3942,5072.0608,1.509841,135,take_profit_150_before_12m,"RSI(14) 34.0523 < 35; VIX 27.85 >= 26.768; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; no short call overlay",true
2021-03-04,2022-09-06,sigma1_weekly_1lot,1,,,,1,294.7356,286.2963,34.3275,0.4242,28.57,17.6439,7.4771,25.121,274,8503.3758,3556.3297,0,0,0,0,3556.3297,-4947.0461,-0.581774,551,force_exit_180d_to_expiry,"RSI(14) 34.3275 < 35; VIX 28.57 >= 25.121; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",false
2021-03-08,2022-09-09,sigma1_weekly_1lot,1,,,,1,290.7036,300.0127,34.0021,0.4237,25.47,17.6497,7.4771,25.1268,270,8391.1281,4758.6801,0,0,0,0,4758.6801,-3632.448,-0.432891,550,force_exit_180d_to_expiry,"RSI(14) 34.0021 < 35; VIX 25.47 >= 25.1268; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",false
2021-05-12,2022-11-14,sigma1_weekly_1lot,1,,,,1,307.5196,279.3628,34.0252,0.2821,27.59,17.6745,7.4189,25.0933,287,6660.6009,2826.624,0,0,0,0,2826.624,-3833.9769,-0.57562,551,force_exit_180d_to_expiry,"RSI(14) 34.0252 < 35; VIX 27.59 >= 25.0933; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",false
2022-05-11,2023-06-12,sigma1_weekly_1lot,1,,,,1,284.5672,354.2071,32.4322,0.2832,32.56,17.9776,7.3105,25.2881,265,6208.9159,10347.6595,0,0,0,0,10347.6595,4138.7437,0.666581,397,take_profit_60_12_to_15m,"RSI(14) 32.4322 < 35; VIX 32.56 >= 25.2881; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2022-03-08,2023-06-13,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,2,2,2,314.9026,356.9288,34.1635,0.2358,35.13,17.8534,7.2755,32.4044,297,11875.8893,15539.074,0,0,0,0,15539.074,3663.1846,0.308456,462,take_profit_30_16_to_18m,"RSI(14) 34.1635 < 35; VIX 35.13 >= 32.4044; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",true
2022-06-14,2023-06-14,sigma1_weekly_1lot,1,,,,1,269.0341,359.5228,33.5279,0.3104,32.69,18.0556,7.3371,25.3928,250,6256.8352,12143.5073,0,0,0,0,12143.5073,5886.6721,0.940839,365,take_profit_60_12_to_15m,"RSI(14) 33.5279 < 35; VIX 32.69 >= 25.3928; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2022-03-07,2023-06-15,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,316.373,363.8068,34.8134,0.2402,36.45,17.8473,7.2695,32.3863,298,6055.2912,8202.86,0,0,0,0,8202.86,2147.5688,0.35466,465,take_profit_30_16_to_18m,"RSI(14) 34.8134 < 35; VIX 36.45 >= 32.3863; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; no short call overlay",true
2022-06-16,2023-06-16,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,4,2,2,264.6268,361.5174,33.9972,0.3152,32.95,18.0648,7.343,32.7508,246,12424.6943,25325.5153,0,0,0,0,25325.5153,12900.821,1.038321,365,take_profit_80_12_to_15m,"RSI(14) 33.9972 < 35; VIX 32.95 >= 32.7508; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",true
2022-05-09,2023-07-13,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,4,2,2,289.7448,373.0529,33.1418,0.2822,34.75,17.9672,7.3025,32.5723,270,12598.4282,22731.6582,0,0,0,0,22731.6582,10133.23,0.804325,430,take_profit_80_12_to_15m,"RSI(14) 33.1418 < 35; VIX 34.75 >= 32.5723; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",true
2022-02-23,2023-07-13,sigma1_weekly_1lot,1,,,,1,320.814,373.0529,32.2349,0.243,31.02,17.8087,7.2426,25.0513,302,6194.8246,8339.3856,0,0,0,0,8339.3856,2144.561,0.346186,505,take_profit_30_16_to_18m,"RSI(14) 32.2349 < 35; VIX 31.02 >= 25.0513; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2022-10-10,2023-07-18,sigma1_weekly_1lot,1,,,,1,260.738,379.5369,34.515,0.3591,32.45,18.2661,7.3675,25.6336,241,6751.2119,15027.5725,0,0,0,0,15027.5725,8276.3606,1.225907,281,take_profit_120_before_12m,"RSI(14) 34.515 < 35; VIX 32.45 >= 25.6336; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2022-04-27,2023-07-18,sigma1_weekly_1lot,1,,,,1,308.8661,379.5369,33.6248,0.2612,31.6,17.9311,7.2795,25.2107,289,6333.8022,10282.8966,0,0,0,0,10282.8966,3949.0944,0.623495,447,take_profit_60_12_to_15m,"RSI(14) 33.6248 < 35; VIX 31.6 >= 25.2107; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2022-01-20,2023-07-24,sigma1_weekly_1lot,1,,,,1,352.2702,370.1798,31.049,0.2222,25.59,17.7381,7.2238,24.9619,333,6365.752,5479.7909,0,0,0,0,5479.7909,-885.9611,-0.139176,550,force_exit_180d_to_expiry,"RSI(14) 31.049 < 35; VIX 25.59 >= 24.9619; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",false
