date,equity,openValue,availableCash,openContracts,qqqAdjClose,qqqRsi,qqqIv,vixClose,vixMean,vixStd,vixThreshold
2012-01-03,20000,0,20000,0,50.312576,56.593574,0.285384,22.969999,24.197707,8.12406,40.445828
2012-01-04,20000,0,20000,0,50.524796,57.817268,0.285423,22.219999,24.189921,8.108938,40.407798
2012-01-05,20000,0,20000,0,50.940353,60.184303,0.285412,21.48,24.179294,8.094739,40.368773
2012-01-06,20000,0,20000,0,51.117214,61.182648,0.285416,20.629999,24.16543,8.081897,40.329223
2012-01-09,20000,0,20000,0,50.949203,59.65246,0.285443,21.07,24.153385,8.068407,40.290199
2012-01-10,20000,0,20000,0,51.320591,61.919673,0.285538,20.690001,24.139961,8.055581,40.251122
2012-01-11,20000,0,20000,0,51.426685,62.566788,0.285543,21.049999,24.128031,8.042246,40.212523
2012-01-12,20000,0,20000,0,51.630051,63.835415,0.285458,20.469999,24.113961,8.029911,40.173783
2012-01-13,20000,0,20000,0,51.444382,61.776918,0.285494,20.91,24.101686,8.016907,40.1355
2012-01-17,20000,0,20000,0,51.91301,64.857253,0.285562,22.200001,24.094427,8.002397,40.099221
2012-01-18,20000,0,20000,0,52.602711,68.837596,0.285974,20.889999,24.082243,7.989554,40.061352
2012-01-19,20000,0,20000,0,52.929878,70.542035,0.285719,19.870001,24.066288,7.978563,40.023415
2012-01-20,20000,0,20000,0,52.850292,69.545549,0.28559,18.280001,24.044453,7.971367,39.987187
2012-01-23,20000,0,20000,0,52.867985,69.648196,0.285428,18.67,24.024248,7.963134,39.950515
2012-01-24,20000,0,20000,0,52.77071,68.28544,0.284981,18.91,24.005094,7.954311,39.913716
2012-01-25,20000,0,20000,0,53.43388,72.269091,0.285356,18.309999,23.983843,7.94702,39.877882
2012-01-26,20000,0,20000,0,53.248192,69.631707,0.285328,18.57,23.963717,7.939044,39.841806
2012-01-27,20000,0,20000,0,53.407379,70.621534,0.285259,18.530001,23.943593,7.931171,39.805934
2012-01-30,20000,0,20000,0,53.451588,70.905154,0.283543,19.4,23.926827,7.92128,39.769386
2012-01-31,20000,0,20000,0,53.522301,71.38108,0.283494,19.440001,23.910331,7.91133,39.732992
2012-02-01,20000,0,20000,0,53.955582,74.169226,0.282796,18.549999,23.890696,7.903435,39.697567
2012-02-02,20000,0,20000,0,54.123592,75.179022,0.282807,17.98,23.869124,7.897024,39.663172
2012-02-03,20000,0,20000,0,54.866341,79.073746,0.283253,17.1,23.844509,7.893162,39.630834
2012-02-06,20000,0,20000,0,54.822121,78.286148,0.283186,17.76,23.822464,7.887306,39.597075
2012-02-07,20000,0,20000,0,54.937069,78.875174,0.283146,17.65,23.80018,7.881734,39.563649
2012-02-08,20000,0,20000,0,55.228882,80.333675,0.283109,18.16,23.779892,7.874764,39.529419
2012-02-09,20000,0,20000,0,55.626759,82.143887,0.283217,18.629999,23.761434,7.866632,39.494697
2012-02-10,20000,0,20000,0,55.237709,74.885427,0.283352,20.790001,23.750821,7.854529,39.459879
2012-02-13,20000,0,20000,0,55.750565,77.684708,0.283434,19.040001,23.734057,7.845525,39.425107
2012-02-14,20000,0,20000,0,55.892036,78.399922,0.283435,19.540001,23.719184,7.835534,39.390252
