entryDate,expiryDate,regime,vixStdBand,sigma2SignalTag,sigma2Count60,sigma2Count20,quantity,entryUnderlying,entryRsi,entryIv,entryVix,entryVixMean,entryVixStd,vixThreshold,strike,entryCost,shortCallPremiumCollected,shortCallSettlements,shortCallCloseCost,shortCallNetCash,activeShortCallStrike,activeShortCallExpiry
2026-03-26,2028-03-25,sigma1_weekly_1lot,1,,,,1,573.1601,34.7486,0.2682,27.44,18.1655,6.8497,25.0152,536,11965.9212,715.8241,3350.0854,0,-2634.2614,750,2026-08-26
2026-03-30,2028-03-29,sigma1_weekly_1lot,1,,,,1,557.6672,28.8551,0.2684,30.61,18.1721,6.854,25.0261,522,11622.3369,717.1255,5834.3262,0,-5117.2007,728,2026-08-28
