date,equity
2021-08-13,20000
2021-08-16,20000
2021-08-17,20000
2021-08-18,20000
2021-08-19,20044.656495520627
2021-08-20,20094.770025555797
2021-08-23,20134.818991174725
2021-08-24,20139.846803014352
2021-08-25,20141.410681446527
2021-08-26,20137.164915157635
2021-08-27,20145.937557284447
2021-08-30,20150.24726383007
2021-08-31,20150.366870678037
2021-09-01,20150.689439437218
2021-09-02,20150.79625648543
2021-09-03,20151.00304211278
2021-09-07,20151.162031752567
2021-09-08,20151.161967948905
2021-09-09,20151.16185084911
2021-09-10,20151.136344058825
2021-09-13,20151.17967010583
2021-09-14,20151.181002018744
2021-09-15,20151.182288323413
2021-09-16,20151.18229797366
2021-09-17,20151.182297540083
2021-09-20,20151.182298151587
2021-09-21,20163.02672104734
2021-09-22,20225.45983630898
2021-09-23,20264.611300868983
2021-09-24,20270.803140824773
2021-09-27,20255.498917533627
2021-09-28,19968.838490636375
2021-09-29,19947.353527215168
2021-09-30,19899.405648399825
2021-10-01,20003.256213665212
2021-10-04,19638.111565869138
2021-10-05,19884.328099719773
2021-10-06,19997.06791171416
2021-10-07,20115.446200649454
2021-10-08,20069.197005672235
2021-10-11,20006.38002069731
2021-10-12,19966.518574993363
2021-10-13,20098.623479267753
2021-10-14,20257.800055629636
2021-10-15,20289.262675194503
2021-10-18,20313.152785933795
2021-10-19,20314.62867311205
2021-10-20,20314.722834675744
2021-10-21,20314.740603310038
2021-10-22,20314.740622059722
2021-10-25,20314.740622121124
2021-10-26,20314.740622121124
2021-10-27,20314.740622121124
2021-10-28,20314.740622121124
2021-10-29,20314.740622121124
2021-11-01,20314.740622121124
2021-11-02,20314.740622121124
2021-11-03,20314.740622121124
2021-11-04,20314.740622121124
2021-11-05,20314.740622121124
2021-11-08,20314.740622121124
2021-11-09,20314.740622121124
2021-11-10,20314.740622121124
2021-11-11,20314.740622121124
2021-11-12,20314.740622121124
2021-11-15,20314.740622121124
2021-11-16,20314.740622121124
2021-11-17,20314.740622121124
2021-11-18,20314.740622121124
2021-11-19,20314.740622121124
2021-11-22,20314.740622121124
2021-11-23,20314.740622121124
2021-11-24,20314.740622121124
2021-11-26,20314.740622121124
2021-11-29,20314.740622121124
2021-11-30,20314.740622121124
2021-12-01,20314.740622121124
2021-12-02,20395.841635407654
2021-12-03,20165.290083815533
2021-12-06,20310.73678398596
2021-12-07,20558.137642832728
2021-12-08,20595.417647035
2021-12-09,20498.12117525944
2021-12-10,20579.444544350692
2021-12-13,20498.623017145044
2021-12-14,20409.759918326108
2021-12-15,20591.545029989455
2021-12-16,20340.86574825499
2021-12-17,20309.213470446535
2021-12-20,20210.151215575268
2021-12-21,20510.33666051485
2021-12-22,20618.37493429092
2021-12-23,20670.0200293314
2021-12-27,20730.94419391618
2021-12-28,20733.732901623345
2021-12-29,20735.55181678809
2021-12-30,20736.339884411012
