entryDate,exitDate,regime,vixStdBand,sigma2SignalTag,sigma2Count60,sigma2Count20,quantity,entryUnderlying,exitUnderlying,entryRsi,entryIv,entryVix,entryVixMean,entryVixStd,vixThreshold,strike,entryCost,leapsExitValue,shortCallPremiumCollected,shortCallSettlements,shortCallCloseCost,shortCallNetCash,totalExitValue,pnl,pnlPct,ageDays,reason,buyReason,win
2022-01-24,2023-05-22,sigma1_weekly_1lot,1,,,,1,343.6925,331.3911,28.3738,0.2246,29.9,17.7464,7.2279,24.9744,325,6246.1472,4155.3429,4045.1326,0,47.8999,3997.2328,8152.5757,1906.4285,0.305217,483,take_profit_30_16_to_18m,"RSI(14) 28.3738 < 35; VIX 29.9 >= 24.9744; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2022-02-23,2023-05-26,sigma1_weekly_1lot,1,,,,1,320.4619,341.952,32.2349,0.243,31.02,17.8087,7.2426,25.0513,301,6224.045,6450.6093,4237.9752,0,646.2218,3591.7534,10042.3627,3818.3177,0.613478,457,take_profit_30_16_to_18m,"RSI(14) 32.2349 < 35; VIX 31.02 >= 25.0513; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2022-01-20,2023-06-02,sigma1_weekly_1lot,1,,,,1,351.8835,348.0863,31.0491,0.2222,25.59,17.7381,7.2238,24.9619,333,6338.6658,4639.5403,4319.9691,0,690.9052,3629.0639,8268.6042,1929.9383,0.304471,498,take_profit_30_16_to_18m,"RSI(14) 31.0491 < 35; VIX 25.59 >= 24.9619; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2024-08-06,2025-07-03,sigma1_weekly_1lot,1,,,,1,434.9684,553.5539,33.4584,0.2038,27.71,18.0948,7.0566,25.1514,414,7310.7967,16493.3881,1541.5552,1744.3878,34.7129,-237.5454,16255.8427,8945.046,1.223539,331,take_profit_120_before_12m,"RSI(14) 33.4584 < 35; VIX 27.71 >= 25.1514; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
2024-08-05,2025-08-05,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,430.8515,557.5845,30.2739,0.2036,38.57,18.092,7.0557,32.2034,410,7242.4305,16827.3578,1908.0395,2105.835,0,-197.7955,16629.5623,9387.1319,1.29613,365,take_profit_80_12_to_15m,"RSI(14) 30.2739 < 35; VIX 38.57 >= 32.2034; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; short call overlay active",true
2025-03-10,2025-09-11,sigma1_weekly_1lot,1,,,,1,469.2366,581.2804,28.5145,0.2299,27.86,18.0751,6.9377,25.0129,443,8687.7708,17389.7603,2048.132,0,311.8481,1736.2839,19126.0442,10438.2734,1.20149,185,take_profit_120_before_12m,"RSI(14) 28.5145 < 35; VIX 27.86 >= 25.0129; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; short call overlay active",true
