strategy,start,end,starting_equity,ending_equity,total_return,cagr,annualized_volatility,sharpe_3pct,max_drawdown,calmar,trade_events
DTE V1,2021-08-13,2026-08-12,20000.0,77404.680474,2.8702340236999997,0.3110762711150077,0.5728962337660304,0.7013757075434156,-0.672357953944585,0.462664670344104,9
Deployed QQQ LEAPS,2021-08-13,2026-08-12,20000.0,69323.489548,2.4661744774,0.28246061363694697,0.4746709872354106,0.6967452864206637,-0.551804427658459,0.5118853700314575,6
Deployed QQQ/TQQQ,2021-08-13,2026-08-12,20000.0,15765.95042310846,-0.21170247884457705,-0.046493012164945835,0.2293154733620772,-0.2081318783364826,-0.43409294601845283,-0.1071038186438751,52
