strategy,scenario,entry_date,exit_date,contract_id,expiration,strike,quantity,regime,entry_delta,entry_dte,entry_fill,entry_cost,exit_fill,exit_proceeds,short_net_cash,total_exit_value,pnl,pnl_pct,reason,age_days
dte_v1,spread_50pct_half,2022-03-07,2023-06-20,QQQ231215C00285000,2023-12-15,285.0,1,sigma2_edge_1lot,0.7011799812316895,648,72.15,7215.000000000001,91.205,9120.5,0.0,9120.5,1905.499999999999,0.26410256410256405,force_exit_180_dte,470
dte_v1,spread_50pct_half,2022-02-23,2023-06-20,QQQ231215C00290000,2023-12-15,290.0,1,sigma1_edge_1lot,0.6979299783706665,660,73.11749999999999,7311.749999999999,86.68,8668.0,0.0,8668.0,1356.250000000001,0.18548910999418755,force_exit_180_dte,482
dte_v1,spread_50pct_half,2022-01-21,2023-06-20,QQQ231215C00310000,2023-12-15,310.0,1,sigma1_edge_1lot,0.6972000002861023,693,77.9075,7790.75,68.9475,6894.750000000001,0.0,6894.750000000001,-895.9999999999991,-0.11500818278086178,force_exit_180_dte,515
dte_v1,spread_50pct_half,2024-08-06,2024-12-17,QQQ260618C00434780,2026-06-18,434.78,1,sigma1_edge_1lot,0.7054200172424316,681,72.615,7261.499999999999,141.9675,14196.75,0.0,14196.75,6935.250000000001,0.9550712662673004,take_profit_30_dte_457_548,133
dte_v1,spread_50pct_half,2024-08-05,2024-12-17,QQQ260618C00430000,2026-06-18,430.0,1,sigma2_edge_1lot,0.7032300233840942,682,75.375,7537.5,145.69750000000002,14569.750000000002,0.0,14569.750000000002,7032.250000000002,0.9329684908789388,take_profit_30_dte_457_548,134
dte_v1,spread_50pct_half,2025-03-10,2025-06-18,QQQ261218C00454780,2026-12-18,454.78,1,sigma1_edge_1lot,0.7022500038146973,648,84.86000000000001,8486.000000000002,120.25,12025.0,0.0,12025.0,3538.999999999998,0.4170398303087435,take_profit_30_dte_457_548,100
dte_v1,spread_50pct_half,2025-04-04,2025-07-16,QQQ270115C00405000,2027-01-15,405.0,1,sigma2_edge_1lot,0.7037100195884705,651,79.75,7975.0,183.835,18383.5,0.0,18383.5,10408.5,1.3051410658307212,take_profit_30_dte_457_548,103
dte_v1,spread_50pct_half,2025-04-03,2025-07-16,QQQ270115C00435000,2027-01-15,435.0,1,sigma1_edge_1lot,0.7021600008010864,652,79.25,7925.0,159.395,15939.500000000002,0.0,15939.500000000002,8014.500000000002,1.011293375394322,take_profit_30_dte_457_548,104
dte_v1,ask_buy_bid_sell,2021-03-04,2021-07-21,QQQ230120C00270000,2023-01-20,270.0,1,sigma1_edge_1lot,0.6935200095176697,687,65.72,6572.0,101.1,10110.0,0.0,10110.0,3538.0,0.5383444917833231,take_profit_30_dte_457_548,139
dte_v1,ask_buy_bid_sell,2022-03-07,2023-06-20,QQQ231215C00285000,2023-12-15,285.0,1,sigma2_edge_1lot,0.7011799812316895,648,72.74000000000001,7274.000000000001,91.12,9112.0,0.0,9112.0,1837.999999999999,0.25268078086334866,force_exit_180_dte,470
dte_v1,ask_buy_bid_sell,2022-02-23,2023-06-20,QQQ231215C00290000,2023-12-15,290.0,1,sigma1_edge_1lot,0.6979299783706665,660,73.85,7384.999999999999,86.58,8658.0,0.0,8658.0,1273.000000000001,0.1723764387271498,force_exit_180_dte,482
dte_v1,ask_buy_bid_sell,2022-01-21,2023-06-20,QQQ231215C00310000,2023-12-15,310.0,1,sigma1_edge_1lot,0.6972000002861023,693,78.86,7886.0,68.87,6887.0,0.0,6887.0,-999.0,-0.12668019274663966,force_exit_180_dte,515
dte_v1,ask_buy_bid_sell,2024-08-06,2024-12-17,QQQ260618C00434780,2026-06-18,434.78,1,sigma1_edge_1lot,0.7054200172424316,681,73.82,7381.999999999999,140.74,14074.0,0.0,14074.0,6692.000000000001,0.9065293958276892,take_profit_30_dte_457_548,133
