start_equity,ending_equity,total_return,cagr,annualized_volatility,sharpe_3pct,max_drawdown,strategy,scenario,window_start,window_end,initial_capital,closed_trade_count,open_position_count,contracts_entered,realized_pnl_closed_longs_and_overlay,ending_cash,ending_open_net_mid_value,skipped_signal_no_qualifying_chain,skipped_signal_insufficient_cash,skipped_exit_missing_quote,short_event_count
20000.0,63626.0,2.1813,0.26063620296734435,0.5958585115584171,0.6321778519536589,-0.7847479600396553,dte_v1,mid,2020-12-16,2025-12-15,20000.0,9,0,9,43626.0,63626.0,0.0,7,5,0,0
20000.0,62824.75,2.1412375,0.25744283528193357,0.6055942781388806,0.6270553995469158,-0.789780075137477,dte_v1,spread_25pct_half,2020-12-16,2025-12-15,20000.0,9,0,9,42824.75,62824.75,0.0,7,5,0,0
20000.0,62023.5,2.101175,0.2542167233172201,0.6157139866882346,0.6221561638732996,-0.7948771425702346,dte_v1,spread_50pct_half,2020-12-16,2025-12-15,20000.0,9,0,9,42023.5,62023.5,0.0,7,5,0,0
20000.0,60421.0,2.02105,0.24766317698073803,0.6372027917546255,0.6130751850128896,-0.805271230475475,dte_v1,ask_buy_bid_sell,2020-12-16,2025-12-15,20000.0,9,0,9,40421.0,60421.0,0.0,7,5,0,0
20000.0,104057.50000000001,4.202875000000001,0.3910629829936607,0.560698503636863,0.8082482551445324,-0.6866955202068461,deployed,mid,2020-12-16,2025-12-15,20000.0,13,0,13,84057.5,104057.50000000001,0.0,3,15,10,300
20000.0,104193.62500000001,4.209681250000001,0.391426991522954,0.565489702192539,0.8063284855445069,-0.6903913386714784,deployed,spread_25pct_half,2020-12-16,2025-12-15,20000.0,13,0,13,84193.62500000001,104193.62500000001,0.0,3,15,10,300
20000.0,105334.50000000001,4.266725000000001,0.3944629173937304,0.5630698816438461,0.8119135539355051,-0.6849704423995552,deployed,spread_50pct_half,2020-12-16,2025-12-15,20000.0,13,0,13,85334.50000000001,105334.50000000001,0.0,3,16,3,298
20000.0,66083.0,2.30415,0.2702320165916119,0.5641637192941357,0.6443315510908575,-0.6584419859455282,deployed,ask_buy_bid_sell,2020-12-16,2025-12-15,20000.0,9,0,9,46083.0,66083.0,0.0,3,19,8,230
